編號,物資存放點名稱,聯絡人,電話,所在縣市,存放點鄉鎮,存放點村里,存放點地址
19,仁壽村辦公處,蘇素蓮,05-2611010#142,嘉義縣,竹崎鄉,仁壽村,2鄰30號
20,仁壽國小仁光分校教室,蘇素蓮,05-2611010#142,嘉義縣,竹崎鄉,仁壽村,8鄰20之3號
21,仁壽村7鄰水社寮民宅,蘇素蓮,05-2611010#142,嘉義縣,竹崎鄉,仁壽村,7鄰1-1號
22,文?村大坑12鄰,蘇素蓮,05-2611010#142,嘉義縣,竹崎鄉,文峰村,12鄰大坑73號
23,文?村大坑15鄰,蘇素蓮,05-2611010#142,嘉義縣,竹崎鄉,文峰村,15鄰大坑21號
24,中華社區活動中心,蘇素蓮,05-2611010#142,嘉義縣,竹崎鄉,中和村,12鄰164號
25,中和村石棹,蘇素蓮,05-2611010#142,嘉義縣,竹崎鄉,中和村,19鄰13號
26,中和村永和,蘇素蓮,05-2611010#142,嘉義縣,竹崎鄉,中和村,21鄰5號
27,竹崎鄉公所柑農中心,蘇素蓮,05-2611010#142,嘉義縣,竹崎鄉,竹崎村,中山路59之1號
28,太和村村辦公處,林育正,05-2622121#182,嘉義縣,梅山鄉,太和村,2鄰蛤里味5-1號
29,太和村仁和國小,林育正,05-2622121#182,嘉義縣,梅山鄉,太和村,社前湖6號
30,太和村太和國小,林育正,05-2622121#182,嘉義縣,梅山鄉,太和村,3鄰18號
31,農產品展示中心,林育正,05-2622121#182,嘉義縣,梅山鄉,瑞峰村,2鄰外寮47之2號
32,瑞里村村辦公處,林育正,05-2622121#182,嘉義縣,梅山鄉,瑞里村,5鄰55號
33,龍眼村活動中心,林育正,05-2622121#182,嘉義縣,梅山鄉,龍眼村,龍眼林3之1號
34,碧湖村活動中心,林育正,05-2622121#182,嘉義縣,梅山鄉,碧湖村,6鄰堀尺嶺9之1號
35,太興村活動中心,林育正,05-2622121#182,嘉義縣,梅山鄉,太興村,4鄰青園5號
36,太平村活動中心,林育正,05-2622121#182,嘉義縣,梅山鄉,太平村,1鄰大坪43號
37,梅山鄉公所,林育正,05-2622121#182,嘉義縣,梅山鄉,梅北村,中山路282號
38,大湖村活動中心,陳采函,05-2591951#137,嘉義縣,番路鄉,大湖村,大湖村火燒寮1-1號
39,大湖國小,陳采函,05-2591951#137,嘉義縣,番路鄉,大湖村,大湖村下坪仔8號
40,公田鄰長劉高對宅,陳采函,05-2591951#137,嘉義縣,番路鄉,公田村,公田村8鄰濫田仔5號
41,公田村活動中心,陳采函,05-2591951#137,嘉義縣,番路鄉,公田村,公田村6鄰大路仔32號
42,隙頂國小,陳采函,05-2591951#137,嘉義縣,番路鄉,公田村,公田村6鄰隙頂40號
43,鄧寬仁宅,陳采函,05-2591951#137,嘉義縣,番路鄉,公田村,公田村2鄰龍頭16-10號
44,梅園樓物資存放預備地點,陳采函,05-2591951#137,嘉義縣,番路鄉,公田村,公田村2鄰龍頭19-6號
45,公興村長宅,陳采函,05-2591951#137,嘉義縣,番路鄉,公興村,公興村2鄰龍美46-8號
46,鄰長宅（近福安宮）,陳采函,05-2591951#137,嘉義縣,番路鄉,公興村,公興村4鄰中寮41號
47,社區理事長宅,陳采函,05-2591951#137,嘉義縣,番路鄉,公興村,公興村7鄰腦寮19號
48,前村長宅,陳采函,05-2591951#137,嘉義縣,番路鄉,公興村,公興村7鄰腦寮3號
49,草山村長宅,陳采函,05-2591951#137,嘉義縣,番路鄉,草山村,草山村4鄰半嶺9-5號
50,永興國小,陳采函,05-2591951#137,嘉義縣,番路鄉,草山村,草山村7鄰永興22號
51,草山村朝天宮,陳采函,05-2591951#137,嘉義縣,番路鄉,草山村,草山村2鄰號
52,公有零售市場,李兆隆,05-2521310#18,嘉義縣,大埔鄉,大埔村,大埔162-9號
53,圖書館,李兆隆,05-2521310#18,嘉義縣,大埔鄉,大埔村,大埔53之2號
54,坪林分校,李兆隆,05-2521310#18,嘉義縣,大埔鄉,茄苳村,8鄰坪林24號
55,西興活動中心,李兆隆,05-2521310#18,嘉義縣,大埔鄉,西興村,3鄰菜瓜坪4之1號
56,埔頂集會所,李兆隆,05-2521310#18,嘉義縣,大埔鄉,永樂村,4鄰埔頂13-1號
57,永樂村長家,李兆隆,05-2521310#18,嘉義縣,大埔鄉,永樂村,7鄰南寮11號
58,聯合村辦公處,湯鈞,05-2562547#170,嘉義縣,阿里山鄉,中正村,52號
59,十字村辦公處,湯鈞,05-2562547#170,嘉義縣,阿里山鄉,十字村,52號
60,豐山村辦公處,湯鈞,05-2562547#170,嘉義縣,阿里山鄉,豐山村,47號
61,來吉村辦公處,湯鈞,05-2562547#170,嘉義縣,阿里山鄉,來吉村,97號
62,樂野村辦公處,湯鈞,05-2562547#170,嘉義縣,阿里山鄉,樂野村,56號
63,達邦村辦公處,湯鈞,05-2562547#170,嘉義縣,阿里山鄉,達邦村,101號
64,里佳村辦公處,湯鈞,05-2562547#170,嘉義縣,阿里山鄉,里佳村,52號
65,山美村辦公處,湯鈞,05-2562547#170,嘉義縣,阿里山鄉,山美村,51號
66,新美村辦公處,湯鈞,05-2562547#170,嘉義縣,阿里山鄉,新美村,66號
67,茶山村辦公處,湯鈞,05-2562547#170,嘉義縣,阿里山鄉,茶山村,74號
